"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","Group","Grazing"
"281","q21",36,36,13.4757,1,1,23.4368438720703,0,"lb1","No"
"282","q21",36,28,11.888969,1,2,19.5572338104248,0,"lb1","No"
"283","q21",36,33,7.859422,0,1,35.174934387207,0,"lb1","No"
"284","q21",36,37,7.652624,0,1,26.2997550964355,0,"lb1","No"
"285","q21",36,29,2.595872,0,2,14.8981685638428,0,"lb1","No"
"286","q21",36,38,4.465223,1,1,-0.460829377174377,1,"lb1","No"
"287","q21",36,23,5.714893,1,2,31.9370727539062,0,"lb1","No"
"288","q21",36,20,14.799495,0,2,15.3158884048462,0,"lb1","No"
"289","q21",36,21,4.208573,1,2,21.8886947631836,0,"lb1","No"
"290","q21",36,26,16.45917,1,2,6.87412691116333,0,"lb1","No"
"291","q21",36,19,20.75421,1,2,6.14313650131226,0,"lb1","No"
"292","q21",37,23,59.98487,1,3,27.382194519043,0,"lb1","No"
"293","q21",37,36,59.87901,1,2,22.1571884155273,0,"lb1","No"
"294","q21",37,17,31.84439,1,3,-0.06329345703125,0,"lb1","No"
"295","q21",37,21,23.71523,1,3,21.2951278686523,0,"lb1","No"
"296","q21",37,30,10.11298,0,3,4.43364763259888,0,"lb1","No"
"297","q21",37,26,60.4744,1,3,4.66986894607544,0,"lb1","No"
"298","q21",37,28,49.65681,1,3,20.061544418335,0,"lb1","No"
"299","q21",37,19,32.22285,1,3,3.99740290641785,0,"lb1","No"
"300","q21",37,38,21.43575,1,2,-0.300065964460373,1,"lb1","No"
"301","q21",38,38,37.81442,1,3,-0.250692039728165,0,"lb1","No"
"302","q21",38,31,17.43394,1,3,11.5796356201172,0,"lb1","No"
"303","q21",38,36,69.36146,1,3,20.5889511108398,0,"lb1","No"
"304","q21",38,28,97.33276,1,4,15.2360048294067,0,"lb1","No"
"305","q21",38,26,81.87589,1,4,5.61085653305054,0,"lb1","No"
"306","q21",38,23,35.12918,0,4,24.2567825317383,0,"lb1","No"
"307","q21",38,17,47.88962,1,4,-0.0030364990234375,0,"lb1","No"
"308","q21",38,19,60.39432,1,4,7.89621305465698,0,"lb1","No"
"309","q21",38,21,62.92215,1,4,20.0664901733398,0,"lb1","No"
"310","q21",39,17,25.68276,0,5,-0.3671875,1,"lb1","No"
"311","q21",39,28,59.07178,1,5,16.2989196777344,0,"lb1","No"
"312","q21",39,31,8.447179,0,4,10.2937850952148,0,"lb1","No"
"313","q21",39,21,35.6472,0,5,20.648567199707,0,"lb1","No"
"314","q21",39,23,12.50628,0,5,32.8535308837891,0,"lb1","No"
"315","q21",39,38,30.34125,1,4,-0.373283356428146,0,"lb1","No"
"316","q21",39,36,118.8247,1,4,21.5549468994141,0,"lb1","No"
"317","q21",39,26,35.583803,1,5,5.20346069335938,0,"lb1","No"
"318","q21",39,19,42.044923,1,5,7.16618871688843,0,"lb1","No"
"319","q21",40,38,9.807377,1,5,3.85231733322144,0,"lb1","No"
"320","q21",40,36,63.43249,1,5,19.7189254760742,0,"lb1","No"
"321","q21",40,28,16.339585,1,6,19.5376663208008,0,"lb1","No"
"322","q21",40,19,41.7565,1,6,6.72215175628662,0,"lb1","No"
"323","q21",41,26,34.70797,1,7,2.83567452430725,0,"lb1","No"
"324","q21",41,40,42.60372,1,1,6.39384794235229,0,"lb1","No"
"325","q21",41,41,5.13283,1,1,2.40072703361511,0,"lb1","No"
"326","q21",41,28,134.1588,1,7,18.4225959777832,0,"lb1","No"
"327","q21",41,38,20.872477,1,6,0.557407021522522,0,"lb1","No"
"328","q21",41,39,4.759089,0,1,6.26449584960938,0,"lb1","No"
