"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"3981","NC26",34,13,"Bouteloua eriopoda",17.3589180933237,50.8118125517055,39.2304473256143,5,1,0,35,36.7696522071423,0
"3982","NC26",34,21,"Bouteloua eriopoda",0.24743378162384,90.0390625,48.3001708984375,1,1,0,54,9.710693359375,0
"3988","NC26",35,4,"Bouteloua eriopoda",4.20996472114152,69.393481386505,60.0726404524513,6,0,0,32,29.5130619780806,0
"3989","NC26",35,5,"Bouteloua eriopoda",25.2761257505784,55.3668896544624,56.964398594029,6,0,0,29,39.7877894876055,0
"3990","NC26",35,6,"Bouteloua eriopoda",27.6308552025672,59.4166797386114,83.4789841903003,7,0,0,23,13.2333917566409,0
"3991","NC26",35,7,"Bouteloua eriopoda",24.2444452398745,44.6003728779284,84.6037991928782,6,0,0,25,12.8517063756197,0
"3992","NC26",35,8,"Bouteloua eriopoda",26.8864491662088,51.9199698014892,39.8610505182421,6,0,0,35,37.0920575435848,0
"3993","NC26",35,9,"Bouteloua eriopoda",10.7181592201018,62.6670228888219,32.0094020315747,1,0,0,55,29.8954860262687,0
"3994","NC26",35,25,"Bouteloua eriopoda",0.23826956748962,49.169921875,7.000732421875,1,0,0,56,6.75048828125,0
"3995","NC26",35,34,"Bouteloua eriopoda",0.25048851966858,45.2392578125,15.020751953125,1,0,0,57,14.7705078125,0
"3996","NC26",35,35,"Bouteloua eriopoda",0.24743378162384,52.0599365234375,15.557861328125,1,0,0,58,15.3076171875,0
"3997","NC26",35,50,"Bouteloua eriopoda",0.25048851966858,74.041748046875,45.941162109375,1,0,0,59,25.7080078125,0
"3998","NC26",35,52,"Bouteloua eriopoda",0.25048851966858,74.578857421875,50.018310546875,1,0,0,60,25.1708984375,0
"3999","NC26",35,53,"Bouteloua eriopoda",0.25048851966858,91.69921875,50.78125,2,0,0,54,8.050537109375,0
"4000","NC26",35,54,"Bouteloua eriopoda",0.25048851966858,65.0390625,52.960205078125,6,0,0,32,34.710693359375,0
"4001","NC26",35,56,"Bouteloua eriopoda",0.25048851966858,29.3212890625,55.6396484375,1,0,0,61,29.071044921875,0
"4003","NC26",35,62,"Bouteloua eriopoda",0.25048851966858,66.461181640625,59.942626953125,6,0,0,32,33.28857421875,0
"4004","NC26",35,64,"Bouteloua eriopoda",0.25048851966858,54.35791015625,64.801025390625,1,0,0,62,34.94873046875,0
"4005","NC26",35,66,"Bouteloua eriopoda",0.25048851966858,41.32080078125,71.337890625,1,0,0,63,28.411865234375,0
"4033","NC27",28,16,"Bouteloua eriopoda",0.24743378162384,87.6800537109375,79.278564453125,1,0,0,48,12.07275390625,0
"4038","NC27",30,10,"Bouteloua eriopoda",6.44413606113938,69.7364802678284,70.7342598918625,1,1,0,49,27.746865582689,0
"4039","NC27",30,11,"Bouteloua eriopoda",2.89468350638696,72.5478097392933,68.0412662048911,1,0,0,50,26.6010672404005,0
"4040","NC27",30,12,"Bouteloua eriopoda",6.84224914521028,76.2985456381683,68.6939267760776,1,1,0,51,22.3886632552451,0
"4045","NC27",30,17,"Bouteloua eriopoda",1.59453241087971,26.9690555328516,0.59411327271335,1,1,0,52,-4.28008656294665e-08,1
"4046","NC27",30,25,"Bouteloua eriopoda",0.25048851966858,65.2587890625,64.00146484375,1,0,0,53,34.490966796875,0
"4047","NC27",30,26,"Bouteloua eriopoda",0.25048851966858,73.62060546875,96.240234375,1,0,0,54,3.509521484375,1
"4050","NC27",31,7,"Bouteloua eriopoda",2.07085030906767,68.2378720788683,69.7735221525297,2,0,0,49,29.3011611226737,0
"4051","NC27",31,8,"Bouteloua eriopoda",4.29329730013647,71.8201600925067,68.2525892904206,2,1,0,51,26.7687921591669,0
"4054","NC27",31,11,"Bouteloua eriopoda",3.58965106757252,26.0844583402317,0.92187064811135,2,1,0,52,-2.16752527038011e-07,1
"4055","NC27",32,0,"Bouteloua eriopoda",4.18376605082225,69.8344190875984,82.190376063623,1,1,0,55,16.4642813376457,0
"4058","NC27",32,3,"Bouteloua eriopoda",5.83999718582711,70.6525453392285,69.1598818030156,3,1,0,51,27.7970246668666,0
"4059","NC27",32,4,"Bouteloua eriopoda",2.04869161526327,67.2045830012011,71.4684838504455,3,0,0,51,27.5744456597203,0
"4062","NC27",32,7,"Bouteloua eriopoda",5.66959564757017,24.41535989576,1.30134897599429,3,1,0,52,-1.9121920991072e-07,1
"4063","NC27",32,18,"Bouteloua eriopoda",0.25048851966858,72.05810546875,80.35888671875,1,0,0,56,19.390869140625,0
"4066","NC27",33,2,"Bouteloua eriopoda",2.02316803592278,69.6490221936732,68.9367535298825,4,1,0,51,29.6112084567991,0
"4067","NC27",33,3,"Bouteloua eriopoda",1.7488160330035,72.4679267773505,68.9252884864445,4,0,0,51,26.7402639943405,0
"4070","NC27",34,0,"Bouteloua eriopoda",12.5918863955813,70.6768998949126,80.9298230522072,3,1,1,55,17.019563581218,0
"4072","NC27",34,2,"Bouteloua eriopoda",4.8774489496893,70.8965775029262,69.7649480018718,5,0,0,51,27.8647282899648,0
"4073","NC27",34,3,"Bouteloua eriopoda",5.58303091004881,67.4202433893659,70.9281113093407,5,1,0,51,27.635824986048,0
"4078","NC27",34,8,"Bouteloua eriopoda",4.93319114759021,25.8669101059176,2.29853860935594,5,1,1,52,1.08356405915835,1
