"quad","year","SP_ID","x","y","GenID"
"g6",27,"52","73.3446779414761","69.5324642629834","52"
"g6",27,"56","68.5905065608934","70.549661383978","56"
"g6",27,"59","15.7079661435906","75.6168703220304","59"
"g6",27,"61","17.1106764592812","85.2839392216399","61"
"g6",27,"69","81.9853255544776","95.2550431957693","69"
"h1",15,"20","35.9180029455913","37.9131304127647","20"
"h1",15,"23","76.4063715126239","39.2885693214419","23"
"h1",15,"25","73.1521947457184","41.3670941693552","25"
"h1",15,"27","37.9047791136463","41.5762845760681","27"
"h1",15,"35","34.4483852603882","59.6752214017476","35"
"h1",15,"36","60.1412499935251","58.2058667780713","36"
"h1",15,"39","59.5433333345378","63.1223915780381","39"
"h1",15,"45","57.53364990465","69.4992138291689","45"
"h1",15,"47","65.1433333347086","70.8750797435641","47"
"h1",15,"49","61.0885714306633","74.9084130705645","49"
"h1",15,"50","89.0459892645456","78.0980905335831","50"
"h2",15,"1","34.0400560739417","9.32717291092035","1"
"h2",15,"5","40.8379003950326","13.3466723419744","5"
"h3",20,"0","91.5421666611372","1.6492916834629","0"
"i1",15,"55","83.2691262731421","92.4179283344001","55"
"i2",15,"2","26.9922749092151","8.96198350614902","2"
"i2",15,"5","1.1433333333116","17.808413086459","5"
"i2",15,"6","78.3499999980753","48.8217464182526","6"
"i2",15,"7","67.3449999980512","51.4750797611972","7"
"i4",15,"7","68.5019191941097","13.2433333434165","7"
"i5",15,"1","86.6684704857037","12.3878622960703","1"
"i6",24,"34","71.7190909076157","98.9845454627139","34"
"i7",19,"33","37.9275846170007","94.4610959776511","33"
"j1",28,"10","84.1987720751812","32.7113146823544","10"
"j12",35,"11","28.9765570212666","68.4614254395449","11"
"j12",35,"16","69.0685365867644","75.4677235830146","16"
"j22",22,"14","74.8275141217225","34.0803390006863","14"
"j22",22,"15","74.8766666666294","42.4100000100831","15"
"j22",22,"26","85.7000000018161","58.4000000264496","26"
"j8",16,"0","7.95488449766328","4.80430830052749","0"
"j9",22,"33","35.3999999992084","35.7000000076369","33"
"k1",16,"56","63.2241220240224","60.2693104643002","56"
"k1",16,"60","10.8915847947524","63.9364662588347","60"
"k1",16,"70","12.8723844393635","68.971904781371","70"
"k1",16,"76","7.54208487287725","76.8907734242126","76"
"k1",16,"81","30.4147778009491","81.1422524114865","81"
"k1",16,"95","67.7715658876211","94.3416419623773","95"
"k1",16,"97","72.1211217606406","96.7497820335238","97"
"k2",16,"24","19.3246080074538","56.9806635183543","24"
"k2",16,"28","43.4249999952595","70.9825797503123","28"
"k2",16,"29","36.5308110988749","75.3677869870018","29"
"k2",16,"30","44.5529141777708","75.5551196700304","30"
"k2",16,"35","25.2268132936331","93.7740420699755","35"
"k2",16,"40","59.2330769237468","99.4152506974444","40"
"k2",16,"41","90.4999999969732","57.6984130777419","41"
"k2",16,"42","74.900000001071","30.598413082771","42"
"k3",16,"14","50.1229636645726","4.53791969191992","14"
"k3",16,"24","31.5174004161304","14.0448640934162","24"
"k3",16,"26","25.0843394446294","99.3450441336975","26"
"k3",16,"27","18.9825449544471","89.7797623070377","27"
"k3",16,"28","11.4906008935679","84.5794383093695","28"
"l1",15,"1","80.2622502088367","1.26230045311038","1"
"l1",15,"2","55.2309171966963","1.81648326719346","2"
"l1",15,"3","91.8255085805937","2.98367693682363","3"
"l1",15,"4","75.3429032659667","6.97660050718594","4"
"l1",15,"5","97.345140515637","7.46058321012563","5"
"l1",15,"6","84.9738031599487","8.12648659545034","6"
"l1",15,"7","35.9098885564211","9.04687461594218","7"
"l1",15,"8","68.1178453885996","12.9431629774274","8"
"l1",15,"10","46.3289766147068","13.0811390449249","10"
"l1",15,"11","89.6903075730949","16.3528365575435","11"
"l1",15,"12","44.6751150442971","17.6456357693833","12"
"l1",15,"13","51.9130224567129","18.203651178058","13"
"l1",15,"14","66.5168695678868","21.0862735949661","14"
"l1",15,"16","13.0096891274055","24.4750797593345","16"
"l1",15,"17","87.4096999074733","27.261614741655","17"
"l1",15,"19","62.4796891274552","33.0084130944063","19"
"l1",15,"20","1.97987639322828","35.0462407934568","20"
"l1",15,"21","66.7143259980421","34.626290175705","21"
"l1",15,"22","81.2039947979826","35.5621481473607","22"
"l1",15,"23","76.5034518294669","38.1390915488654","23"
"l1",15,"24","82.4130224607264","39.2750797482828","24"
"l1",15,"25","91.8624279053084","42.5999359055714","25"
"l1",15,"26","32.0499789872288","42.2799106682789","26"
"l1",15,"27","72.3432880798378","43.969505489625","27"
"l1",15,"29","44.7061527709468","47.4596406528753","29"
"l1",15,"31","92.8241335706395","48.0750797468958","31"
"l1",15,"33","80.7117395849433","51.4769251724787","33"
"l1",15,"34","38.9657810278771","52.9436174660519","34"
"l1",15,"35","94.8063557928738","53.2457265276128","35"
"l1",15,"36","73.2512940682478","54.7256970365038","36"
"l1",15,"37","61.7154997622602","56.2431731343388","37"
"l1",15,"38","55.7605922649044","57.0398849894069","38"
"l1",15,"39","51.2442463749727","57.0341275490651","39"
"l1",15,"40","49.9759021875778","63.9855666410126","40"
"l1",15,"43","19.7329748412731","65.2440321378344","43"
"l1",15,"45","19.8398212770776","79.1603071161116","45"
"l1",15,"48","82.1114208591239","83.6910957651772","48"
"l1",15,"52","77.4172855179291","83.7846599635481","52"
"l1",15,"53","22.9600275388772","84.442084823335","53"
"l1",15,"63","29.9249844026088","99.1020482577213","63"
"l1",15,"72","8.48675042733221","19.9804156718424","72"
"l1",15,"74","39.2030224611517","58.8984130881727","74"
"l1",15,"75","16.4845124054477","24.1451111460168","75"
"l1",15,"76","8.85045316764332","20.2191752913964","76"
"l2",15,"6","72.6358856199436","33.3113366820392","6"
"l2",15,"9","70.0934757817039","38.7605498234652","9"
"l2",15,"14","85.0836318372074","48.0651902695415","14"
"l2",15,"32","3.06376042803603","81.2418260190783","32"
"l2",15,"38","37.9531266843607","82.0996979079331","38"
"l2",15,"40","36.1517677633679","89.5594240587089","40"
"l2",15,"42","5.3392038843725","97.5303978164401","42"
"l2",15,"43","53.4747899522966","97.9632651955638","43"
"u1",27,"49","92.484940851203","91.0047507465446","49"
"u2",54,"0","19.1600750034363","15.0686416793308","0"
"u2",54,"1","31.0011834036925","78.9491607751162","1"
"u3",28,"6","6.1984940266093","8.50944381398716","6"
"u4",38,"18","2.34852473021331","44.8406620213166","18"
"u5",27,"48","19.6910757207836","64.0120181681136","48"
"v1",36,"2","32.6251435374575","9.40881160573028","2"
"v1",36,"26","71.2617958279702","65.1487950399546","26"
"v1",36,"56","72.0957177720265","63.1984130945057","56"
"v2",31,"42","35.2620858156782","97.7945473021824","42"
"v3",35,"3","12.3348370929047","20.4612702288355","3"
"v3",35,"4","22.7455974818746","21.0297967433386","4"
"v3",35,"6","97.1766666645029","36.0750797515114","6"
"v3",35,"9","98.2737998857335","54.3712573690284","9"
"v3",35,"10","47.0304040406028","59.4507363210274","10"
"v3",35,"11","38.1930013257235","65.2434728434927","11"
"v3",35,"15","82.0000000006985","29.298413079232","15"
"v4",36,"5","28.6140038426724","36.2877561972148","5"
"v4",36,"8","32.542384439148","50.6482917970667","8"
"v4",36,"10","36.8757553784009","52.6740170979372","10"
"v4",36,"40","31.9957177736796","35.8049584552646","40"
